OPE ID,School,City,State,Zip Code,Full Address,lat,lon,School Type,Loan Type,Recipients,# of Loans Originated,$ of Loans Originated,avg_loans_originated,# of Disbursements,$ of Disbursements,avg_loans_disbursed
26009,AVEDA ARTS & SCIENCES INSTITUTE COVINGTON,COVINGTON,LA,70433,COVINGTON LA 70433 ,30.44,-90.09,Proprietary,Total,3989,3989,14004341,3510.739784,4923,8171542,1659.870404
38373,AVEDA FREDRIC'S INSTITUTE,WEST CHESTER,OH,45069,WEST CHESTER OH 45069 ,39.32,-84.37,Proprietary,Total,2052,2072,9659202,4661.777027,2104,4942670,2349.177757
41559,AVEDA FREDRIC'S INSTITUTE,INDIANAPOLIS,IN,46250,INDIANAPOLIS IN 46250 ,39.91,-86.07,Proprietary,Total,1094,1094,4586253,4192.187386,1114,2293264,2058.585278
41194,AVEDA INSTITUTE - SOUTH FLORIDA,SAINT PETERSBURG,FL,33701,SAINT PETERSBURG FL 33701 ,27.76,-82.64,Proprietary,Total,2358,2358,8215029,3483.896947,2494,4222353,1693.004411
41348,AVEDA INSTITUTE - TALLAHASSEE,TALLAHASSEE,FL,32304,TALLAHASSEE FL 32304 ,30.44,-84.34,Proprietary,Total,1418,1418,5035118,3550.858956,1478,2557841,1730.609608
41767,AVEDA INSTITUTE BOISE,BOISE,ID,83704,BOISE ID 83704 ,43.62,-116.29,Proprietary,Total,202,202,925893,4583.628713,254,530019,2086.688976
41407,AVEDA INSTITUTE CHAPEL HILL,CHAPEL HILL,NC,27516,CHAPEL HILL NC 27516 ,35.91,-79.06,Proprietary,Total,1250,1250,5726001,4580.8008,1258,2882158,2291.063593
41378,AVEDA INSTITUTE COLUMBUS,COLUMBUS,OH,43201,COLUMBUS OH 43201 ,40.01,-83.01,Proprietary,Total,1860,1860,9462885,5087.572581,1872,4731646,2527.588675
41671,AVEDA INSTITUTE DENVER,DENVER,CO,80202,DENVER CO 80202 ,39.75,-104.99,Proprietary,Total,1294,1294,5663446,4376.697063,1361,2935465,2156.844232
42033,AVEDA INSTITUTE DES MOINES,DES MOINES,IA,50266,DES MOINES IA 50266 ,41.59,-93.74,Proprietary,Total,752,812,2567687,3162.176108,812,1282568,1579.517241
41476,AVEDA INSTITUTE LAS VEGAS,LAS VEGAS,NV,89119,LAS VEGAS NV 89119 ,36.09,-115.17,Proprietary,Total,1215,1230,4879233,3966.856098,1230,2439839,1983.608943
38393,AVEDA INSTITUTE NEW YORK,NEW YORK,NY,10013,NEW YORK NY 10013 ,40.72,-74.00,Proprietary,Total,279,279,1278069,4580.892473,291,675125,2320.017182
